Kontribusi,Dimensi,Indikator,Kota
55.41320568773757,Ketenagakerjaan,Produktivitas,A
0.4458210145947721,Standar Hidup,Kepemilikan Aset,A
0.1220141724154113,Standar Hidup,Sumber Penerangan,A
4.1672532732648175,Standar Hidup,Sanitasi,A
2.027312403209911,Standar Hidup,Air minum,A
1.2764559575766106,Standar Hidup,BB Memasak,A
0.09854990848937067,Standar Hidup,Lantai,A
13.867379980290018,Pendidikan,Lama Sekolah,A
2.322962128678023,Pendidikan,Partisipasi Sekolah,A
1.0418133183162044,Kesehatan,Kematian Balita,A
19.217232155427283,Kesehatan,Gizi/Nutrisi,A
53.97961008764085,Ketenagakerjaan,Produktivitas,B
0.473976032910034,Standar Hidup,Kepemilikan Aset,B
1.6007869790735108,Standar Hidup,BB Memasak,B
0.20568771239492042,Standar Hidup,Sumber Penerangan,B
4.051153639778215,Standar Hidup,Sanitasi,B
1.5113575389018066,Standar Hidup,Air minum,B
0.02682883205151135,Standar Hidup,Lantai,B
15.560722589876585,Pendidikan,Lama Sekolah,B
3.1926310141298515,Pendidikan,Partisipasi Sekolah,B
0.9926667859059203,Kesehatan,Kematian Balita,B
18.40457878733679,Kesehatan,Gizi/Nutrisi,B
51.54972752043597,Ketenagakerjaan,Produktivitas,C
0.4683242506811989,Standar Hidup,Kepemilikan Aset,C
1.4220027247956402,Standar Hidup,BB Memasak,C
0.15326975476839239,Standar Hidup,Sumber Penerangan,C
4.172343324250681,Standar Hidup,Sanitasi,C
1.9499318801089918,Standar Hidup,Air minum,C
0.07663487738419619,Standar Hidup,Lantai,C
16.297683923705726,Pendidikan,Lama Sekolah,C
2.5800408719346053,Pendidikan,Partisipasi Sekolah,C
2.477861035422343,Kesehatan,Kematian Balita,C
18.852179836512263,Kesehatan,Gizi/Nutrisi,C
53.99807321772639,Ketenagakerjaan,Produktivitas,D
0.44958253050738606,Standar Hidup,Kepemilikan Aset,D
1.1400128452151572,Standar Hidup,BB Memasak,D
0.09633911368015415,Standar Hidup,Sumber Penerangan,D
3.484264611432241,Standar Hidup,Sanitasi,D
1.7983301220295442,Standar Hidup,Air minum,D
0.040141297366730895,Standar Hidup,Lantai,D
2.1194605009633913,Pendidikan,Partisipasi Sekolah,D
1.5173410404624281,Kesehatan,Kematian Balita,D
19.821772639691716,Kesehatan,Gizi/Nutrisi,D
15.534682080924858,Pendidikan,Lama Sekolah,D
51.17245075706821,Ketenagakerjaan,Produktivitas,E
1.7218276832373036,Standar Hidup,BB Memasak,E
0.375184242261825,Standar Hidup,Sumber Penerangan,E
4.562508374648265,Standar Hidup,Sanitasi,E
2.6195899772209565,Standar Hidup,Air minum,E
0,Standar Hidup,Lantai,E
15.275358434945732,Pendidikan,Lama Sekolah,E
3.0952699986600565,Pendidikan,Partisipasi Sekolah,E
1.6883290901782124,Kesehatan,Kematian Balita,E
19.174594667023985,Kesehatan,Gizi/Nutrisi,E
0.31488677475546023,Standar Hidup,Kepemilikan Aset,E
53.620190318576746,Ketenagakerjaan,Produktivitas,F
0.38615363398151975,Standar Hidup,Kepemilikan Aset,F
1.916976968693973,Standar Hidup,BB Memasak,F
0.16549441456350847,Standar Hidup,Sumber Penerangan,F
3.282305888842918,Standar Hidup,Sanitasi,F
1.406702523789822,Standar Hidup,Air minum,F
0.08274720728175423,Standar Hidup,Lantai,F
13.611915597848572,Pendidikan,Lama Sekolah,F
1.034340091021928,Kesehatan,Kematian Balita,F
19.73520893669839,Kesehatan,Gizi/Nutrisi,F
4.757964418700868,Pendidikan,Partisipasi Sekolah,F
61.63636363636365,Ketenagakerjaan,Produktivitas,G
0.2545454545454546,Standar Hidup,Kepemilikan Aset,G
0.23636363636363633,Standar Hidup,BB Memasak,G
0,Standar Hidup,Sumber Penerangan,G
2.5090909090909093,Standar Hidup,Sanitasi,G
1.8181818181818183,Standar Hidup,Air minum,G
0.1090909090909091,Standar Hidup,Lantai,G
10.09090909090909,Pendidikan,Lama Sekolah,G
0.9272727272727272,Pendidikan,Partisipasi Sekolah,G
0.27272727272727276,Kesehatan,Kematian Balita,G
22.145454545454545,Kesehatan,Gizi/Nutrisi,G
